,Unit Name,Unit Count,exactMatch
204,milligramPerGramPerHour,1,0
205,numberPerThreeTenthsMeterSquared,1,0
206,miligram-carbon per square meter per day,1,0
207,frustules,1,0
208,gram-carbon per square meter per day,1,0
209,CubicMicronPerMililiter,1,0
210,micrometerCubedPerMillimeterSquared,1,0
211,microSiemensperCentimeter,1,0
212,cellsPerMillimeterSquared,1,0
213,CatchperTrawl,1,0
214,micrometerCubed,1,0
215,mg active C / cm^2,1,0
216,CubicMeterperSquareMeterperDay,1,0
217,micrometerCubedPerMilliliter,1,0
218,mg non-mobile N / kg dry soil,1,0
219,microsiemens/cm,1,0
220,Day of the year,1,0
221,percent saturation,1,0
222,meterCubedPerMole,1,0
223,partsPerMillionPerSecond,1,0
224,WGS 84,1,0
225,week,1,0
226,WGS84,1,0
227,microsiemens per centimeter; μS/cm,1,0
228,nesslerTurbidityUnit,1,0
229,micrometerCubedPerLiter,1,0
230,count of fish individuals,1,0
231,micromole,1,0
232,No unit,1,0
233,lumen/foot2,1,0
234,unitless.,1,0
235,kilogramPerMeterPerSecondSquared,1,0
236,millimeterPerHour,1,0
237,rotation start,1,0
238,kilogramPerKilogram,1,0
239,joulePerKelvinPerKilogram,1,0
240,meterSquaredPerSecondSquared,1,0
241,hitsPerSquareCentimeter,1,0
242,micro-atmosphere ,1,0
243,molPerAtmosphere,1,0
244,meterPerMeter,1,0
245,julian day,1,0
246,Water year,1,0
247,month,1,0
248,microgramsPerLiter,1,1
249,Month,1,0
250,simulation,1,0
251,numberPer100Milliliters,1,0
252,numberPer0.1MillimeterCubed,1,0
253,numberMicrometerCubedPer0.1Mililiter,1,0
254,opticalDensity,1,0
255,Latitude,1,0
256,Date code,1,0
257,delta,1,0
258,Relation,1,0
259,electronVolt,1,0
260,inverseAngstrom,1,0
261,minusLoghydrogenIon,1,0
262,minusLogactivity,1,0
263,dollarPerMetricTon,1,0
264,dollarPerYear,1,0
265,gramPerYearPerMeterSquared,1,0
266,kilogramPerYear,1,0
267,gramPerMeterSquaredPerHour,1,0
268,microgramPerMeterSquaredPerHour,1,0
269,micromolPhotonsPerMeterSquaredPerSecond,1,0
270,Unique Identifier,1,0
271,grams,1,0
272,MilliSiemens per centimeter,1,0
273,pH ,1,0
274,milligrams of oxygen per liter per day,1,0
275,mEq/L,1,0
276,abundance,1,0
277,µg L-1,1,0
278,µg cm-2,1,0
279,squareMeterPerHectare,1,0
280,megagramPerHectare,1,0
281,numberMicrometerCubedPer0.1MilimeterCubed,1,0
282,inchMercury,1,0
283,NA,1,0
284,millimolePerSquaredMeterPerHour,1,0
285,part per trillion,1,0
286,No units,1,0
287,no units,1,0
288,difference in probability,1,0
289,probability,1,0
290,decimal degrees,1,0
291,individualSecsPerDay,1,0
292,individuals,1,0
293,kilometerPerKilometerSquared,1,0
294,literPerDay,1,0
295,kilogramPerDay,1,0
296,negative log H+,1,0
297,MicroSiemens per centimeter,1,0
298,m2PerGram,1,0
299,milligramPerKilogram,1,1
300,per mille,1,0
301,gramPerGram *100,1,0
302,ugPerGram,1,0
303,Mg/ha,1,0
304,Fraction,1,0
305,Day of Year,1,0
306,Dilution factor,1,0
307,micromolPhotonsPerSquareMeterPerSecond,1,0
308,parts per thousand,1,0
309,microseimens per centimeter,1,0
310,Nephelometric Turbidity unit,1,0
311,rotation end,1,0
312,rank score,1,0
313,microS.cm-2,1,0
314, microS.cm-2,1,0
315,permeter,1,0
316,centimeterPerHourPerPascal,1,0
317,perday,1,0
318,Block,1,0
319,Number of species,1,0
320,# individuals,1,0
321,# teats,1,0
322,# offspring,1,0
323,rate increase,1,0
324,person per km2,1,0
325,mL02/hr,1,0
326,# litters/year,1,0
327,# diet categories,1,0
328,litters/year,1,0
329,individuals/km2,1,0
330,# habitat layers,1,0
331,no units ,1,0
332,ppb,1,0
333,Practical Salinity Unit,1,0
334,SPAD,1,0
335,Stems per 0.1 ha,1,0
336,interger,1,0
337,molePerMeterSquaredPerDay,1,0
338,microMolesPerKilogram,1,0
339,millimolesPerSquareMeterPerHour,1,0
340,Omega,1,0
341,fraction,1,0
342,m,1,0
343,mg P/L,1,0
344,µS/cm,1,0
345,kilometersPerKilometerSquared,1,0
346,mg N/L,1,0
347,milligramPerMeterSquaredPerDay,1,1
348,permill,1,0
349,millimetersPerGram,1,0
350,nanomolesPerGramPerHour,1,0
351,micromolesPerMolPerSecond,1,0
352,squareCentimetersPerGram,1,0
353,countsPer6metersSquared,1,0
354,millimolesCarbonPerSquareMeterPerDay,1,0
355,perMill,1,0
356,millimetersMercury,1,0
357,millilitersPerMilliliter,1,0
358,kiloWattsPerSquareMeter,1,0
359,microMolesPerSecondPerSquareMeter,1,0
360,ppmPerSecond,1,0
361,micromolesPerMeterSquarePerSecond,1,0
362,millimolesPerMeterSquarePerDay,1,0
363,millimolesPerSecond,1,0
364,molesPerMeterSquared,1,0
365,joulesPerMeterSquared,1,0
366,Meter,1,0
367,milligramsPerHectare,1,0
368,micromolePerMole,1,1
369,dimensionsless,1,0
370,kiloPascal,1,0
371,milligrams per liter,1,0
372,ID,1,0
373,joulesPerKilogram,1,0
374,microMolePerLiter,1,0
375,microGramsPhosphorusPerTenCentimeterSquareExchangeResinPerTenWeeks,1,0
376,Milligrams of nitrogen (ammonium & nitrate) per kilogram dry soil per day,1,0
377,gramPerMeterSquared,1,1
378,gramPerMeterSquaredPerYear,1,1
379,perMilleVsVPDB,1,0
380,milligramsPerDay,1,0
381,nanomolesPerGram,1,0
382,gramCentimeter,1,0
383,centimetersSquaredPerGram,1,0
384,relativeFluorescenceUnit,1,0
385,Log response ratio as a magnitude with sign added (for ease of interpretation),1,0
386,"Sign of % proportional change 1 if positive, -1 if negative",1,0
387,sum mm per day,1,0
388,mm per day,1,0
389,milliMolar,1,0
390,microMole,1,0
391,milligramsPerSquareMeterPerDay,1,0
392,microgramsPerSquareMeterPerDay,1,0
393,microgramsPerSquareMeter,1,0
394,millimolesPerCubicMeter,1,0
395,microMolsPerMeterSquaredPerSecond,1,0
396,metersAboveSeaLevel,1,0
397,footCubedPerSecond,1,1
398,fracDOY,1,0
399,Milligrams of nitrate per kilogram dry soil per day,1,0
400,Centimoles of charge per dry soil weight,1,0
401,meterSquaredPerHectare,1,1
402,microMolesPerSquareMeterPerSecond,1,0
403,microGramsNitrogenPerTenCentimeterSquareExchangeResinPerTenWeeks,1,0
404,millimolePerKilogram,1,1
405,millilitersPerDay,1,0
406,ppmPerDay,1,0
407,millilitersPerKilogramsPerDayPerConcentration,1,0
408,nanomolesPerMeterSquaredPerDay,1,0
409,metersSquaredPerHectare,1,0
410,cubicMeterPerHectare,1,0
411,thermalSensitivity,1,0
412,squareCentimeter,1,0
413,milliMolePerMeterSquared,1,0
414,milliMolePerMeterSquaredPerSecond,1,0
415,micromolesPerMole,1,0
416,molesPerSquareMeterPerSecond,1,0
417,megagramPerHectarePerYear,1,0
418,WattsPerSquareMeter,1,0
419,nanogramsPerCubicCentimeterPerDay,1,0
420,microgramsPerCubicCentimeter,1,0
421,nanogramsPerGramPerDay,1,0
422,cm3,1,0
423,ug/m3,1,0
424,cubicMicrometersPerCentimetersSquared,1,0
425,microgramsPerSquareCentimeter,1,0
426,joulePerCentimeterSquared,1,0
427,micromolesPerMeterSquaredPerSecond,1,0
428,wattPerSquareMeter,1,0
429,gramsPerSquareMeterPerDay,1,0
430,numberPerMeter,1,0
431,millilitersPerKilogramsPerDay,1,0
432,millilitersPerDayPerConcentration,1,0
433,microGramsNitratePerTenCentimeterSquareExchangeResinPerTenWeeks,1,0
434,nanomolesPerKilogramPerDay,1,0
435,microGramsAmmoniumPerTenCentimeterSquareExchangeResinPerTenWeeks,1,0
436,tillers per 0.25 squareMeter,1,0
437,metersPerYear,1,0
438,pct areal cover,1,0
439,phi,1,0
440,millimolesPerLiter,1,0
441,gramsPerSquaredMeterPerCentimeter,1,0
442,gramsDryMassPerSquareMeterPer15cmDepthInterval,1,0
443,gramsDryMassPerSquareMeterPerYearPer15cmDepthInterval,1,0
444,gramsPerHectarePerYear,1,0
445,megaGramsPerHectare,1,0
446,cubicMetersPerHectare,1,0
447,JoulesperSquareMeter,1,0
448,MilligramsOxygenPer LiterPerDay,1,0
449,umolphotons/m2/day,1,0
450,umolphotons/m2/second,1,0
451,micromolePerSquareMeterPerDay,1,0
452,millimeterPerMeterSquared,1,0
453,millimolesPerMeterCubed,1,0
454,gramsPerSecond,1,0
455,MicrosiemensPerCm,1,0
456,millionCubicMeters,1,0
457,kilowattsPerHourPerMeterSquare,1,0
458,lumenPerMeterSquare,1,0
459,milliequivalentsPerHectogram,1,0
460,milliequivalentPer100Gram,1,0
461,centimoleH+PerKilogram,1,0
462,Formazin Nephelometric Units,1,0
463,milligramsTNperMilligramsDOC,1,0
464,microgramsTPperMeter,1,0
465,milligramsDONperMeter,1,0
466,PerMeterPerMilligramsDOC,1,0
467,microgramsDOPperMeter,1,0
468,microgramsTPperMilligramsDOC,1,0
469,micromolesPerMeterSuaredPerSecond,1,0
470,milligramsTNperMeter,1,0
471,milligramsDONperMilligramsDOC,1,0
472,microgramsDOPperMilligramsDOC,1,0
473,minimalErythemaDose,1,0
474,degreeDays,1,0
475,Primary Key,1,0
476,relativeFlourescenceUnit,1,0
477,FormazinNephelometricUnits,1,0
478,g-O2 per m2 per day,1,0
479,mol per liter per atmosphere,1,0
480,deviation from the standard Vienna Peedee belemnite,1,0
481,m/d,1,0
482,micromol per kilogram of seawater,1,0
483,cubic feet per second,1,0
484,Relative Fluorescence Units,1,0
485,day of year,1,0
486,cubicKilometers,1,0
487,countPer100SquareMeters,1,0
488,practicalSalinityUnit,1,0
489,PerMeter,1,0
490,pings/m^3/30 min,1,0
491,micromolePerMeterSquaredPerDay,1,0
492,large fish/meterCubed/30 minute,1,0
493,milligramPerHour,1,0
494,Coordinate,1,0
495,Experimental ID,1,0
496,relativeFluorescenceUnites,1,0
497,Part per million,1,0
498,species,1,0
499,plot,1,0
500,block,1,0
501,microgramsPerSquareMeterPerHour,1,0
502,photosyntheticPhotonFluxDensity,1,0
503,ppt,1,0
504,kilogramsPerKilometerSquarePerYear,1,0
505,decimalPercent,1,0
506,micromolePerGram,1,1
507,None,1,0
508,microgramsPer10centimeterSquaredPerBurialLength,1,0
509,micromoles,1,0
510,fishPerEnclosure,1,0
511,fishPerSchool,1,0
512,thermal unit,1,0
513,nephlometricTurbidityUnits,1,0
514,litersPerMilligramCarbonPerMeter,1,0
515,partsPerThousand,1,0
516,quinineSulfateUnits,1,0
517,millimeterSquaredPerMilligram,1,0
518,milligramPerCentimeterSquared,1,0
519,Decimal Degrees,1,0
520,catchperuniteffort,1,0
521,inverseCentimeter,1,1
522,ppmv,1,0
523,tonsPerAcre,1,0
524,numberPerTree,1,0
525,cubicmeterPerSecond,1,0
526,milliliterPerHour,1,0
527,literPerMilligramCarbonMeter,1,0
528,cubicCentimeters,1,0
529,decimaldegree,1,0
530,PSU,1,0
531,millionAcreFeet,1,0
532,identification number,1,0
533,Number of taxon,1,0
534,taxon length,1,0
535,Count,1,0
536,Taxon code,1,0
537,subsample number,1,0
538,number of transects,1,0
539,micromolesPerGram,1,0
540,millisiemenPerCentimeter,1,0
541,relativeFlorescenceUnits,1,0
542,gramsOfOyxgenPerSquareMeterPerDay,1,0
543,poundPerPersonPerDay,1,0
544,milliequivalentsPer100grams,1,0
545,microgramPerGramPerDay,1,1
546,milliSiemens,1,0
547,micro atmosphere,1,0
548,micromolePerMeterSquaredPerSecond,1,1
549,No Unit,1,0
550,perMille,1,0
551,RelativeFluorescenceUnit,1,0
552,FormazinNephelometricUnit,1,0
553,microgramsPerMilligram,1,0
554,millgramsPerGram,1,0
555,MilligramsPerCubicDecimeter,1,0
556,acreFoot,1,0
557,Proportion ,1,0
558,fruitsPerIndividualPerYear,1,0
559,unitless (normalized data),1,0
560,unitless ,1,0
561,unitless (normalized),1,0
562,proportion of initial dry mass lost per day based on the asymptotic model of decay (Howard and Howard 1974),1,0
563,millimolesPerCubicMeterPerDay,1,0
564,micromolesPerSquareMeterPerDay,1,0
565,joulesPerSquareMeter,1,0
566,literPerMeterPerMilligram,1,0
567,nanomolePerGram,1,0
568,gramPercentimeterSquared,1,1
569,microSiemenPerCentiMeter,1,0
570,joulesPerMeterSquare,1,0
571,microMolesPerHectare,1,0
572,milliequivalentsPerHundredGrams,1,0
573,partsPerBillion,1,0
574,luminosityPerSquareFoot,1,0
575,centimeterCubed,1,1
576,celsiusSquared,1,0
