id,name,deprecatedInFavorOf,udunitSynonym,parentSi,constantToSi,multiplierToSi,abbreviation,unitType
kilogramPerMeterSquaredPerDay,kilogramPerMeterSquaredPerDay,,kilogram/meter^2/day,kilogramPerMeterSquaredPerSecond,,0.000015741,kg/m²/d,massFlux
gramPerMeterSquaredPerDay,gramPerMeterSquaredPerDay,,kilogram/meter^2/day,kilogramPerMeterSquaredPerSecond,,0.000000015741,kg/m²/d,massFlux
milligramPerMeterSquaredPerDay,milligramPerMeterSquaredPerDay,,milligram/meter^2/day,kilogramPerMeterSquaredPerSecond,,0.000000000015741,mg/m²/d,massFlux
kilogramPerMeterSquaredPerYear,kilogramPerMeterSquaredPerYear,,kilogram/meter^2/common_year,kilogramPerMeterSquaredPerSecond,,0.00000003170979,kg/m²/yr,massFlux
molesPerKilogram,molesPerKilogram,molePerKilogram,mole/kilogram,,,1,,amountOfSubstanceWeight
molesPerGram,molesPerGram,molePerGram,mole/gram,molePerKilogram,,1000,,amountOfSubstanceWeight
millimolesPerGram,millimolesPerGram,millimolePerGram,millimole/gram,molePerKilogram,,1,,amountOfSubstanceWeight
molesPerKilogramPerSecond,molesPerKilogramPerSecond,molePerKilogramPerSecond,mole/kilogram/second,,,1,,amountOfSubstanceWeightRate
nanomolesPerGramPerSecond,nanomolesPerGramPerSecond,nanomolePerGramPerSecond,nanomole/gram/second,molePerKilogramPerSecond,,0.000001,,amountOfSubstanceWeightRate
molePerKilogramPerSecond,molePerKilogramPerSecond,,mole/kilogram/second,molePerKilogramPerSecond,,1,mol/kg/s,amountOfSubstanceWeightRate
nanomolePerGramPerSecond,nanomolePerGramPerSecond,,nanomole/gram/second,molePerKilogramPerSecond,,0.000001,nmol/g/s,amountOfSubstanceWeightRate
nanomolePerGramPerHour,nanomolePerGramPerHour,,nanomole/gram/hour,molePerKilogramPerSecond,,0.000000000277778,nmol/g/h,amountOfSubstanceWeightRate
nanomolePerGramPerDay,nanomolePerGramPerDay,,nanomole/gram/day,molePerKilogramPerSecond,,0.0000000000115741,nmol/g/d,amountOfSubstanceWeightRate
micromolePerGramPerSecond,micromolePerGramPerSecond,,micromole/gram/second,molePerKilogramPerSecond,,0.001,nmol/g/s,amountOfSubstanceWeightRate
micromolePerGramPerHour,micromolePerGramPerHour,,micromole/gram/hour,molePerKilogramPerSecond,,0.000000277778,nmol/g/h,amountOfSubstanceWeightRate
micromolePerGramPerDay,micromolePerGramPerDay,,micromole/gram/day,molePerKilogramPerSecond,,0.0000000115741,nmol/g/d,amountOfSubstanceWeightRate
kilogramsPerSecond,kilogramsPerSecond,kilogramPerSecond,kilogram/second,,,1,kg/s,massRate
tonnesPerYear,tonnesPerYear,tonnePerYear,metric_ton/common_year,kilogramPerSecond,,0.0000317,,massRate
gramsPerYear,gramsPerYear,gramPerYear,gram/common_year,kilogramPerSecond,,0.0000000000317,g/yr,massRate
gramPerYear,gramPerYear,,gram/common_year,kilogramPerSecond,,0.00000000003170979,g/yr,massRate
kilogramPerSecond,kilogramPerSecond,,kilogram/second,kilogramPerSecond,,1,kg/s,massRate
tonnePerYear,tonnePerYear,,metric_ton/common_year,kilogramPerSecond,,0.00003170979,t/yr,massRate
numberPerMeterSquared,numberPerMeterSquared,,count/meter^2,,,1,,arealDensity
numberPerKilometerSquared,numberPerKilometerSquared,,count/kilometer^2,numberPerMeterSquared,,0.000001,,arealDensity
numberPerHectare,numberPerHectare,,count/hectare,numberPerMeterSquared,,0.0001,#/hectare,arealDensity
numberPerMeterCubed,numberPerMeterCubed,,count/meter^3,,,1,,volumetricDensity
numberPerLiter,numberPerLiter,,count/liter,numberPerMeterCubed,,1000,,volumetricDensity
numberPerMilliliter,numberPerMilliliter,,count/milliliter,numberPerMeterCubed,,1000000,,volumetricDensity
metersPerGram,metersPerGram,meterPerGram,meter/gram,,,1,m/g,massSpecificLength
meterPerGram,meterPerGram,,meter/gram,meterPerGram,,1,m/g,massSpecificLength
numberPerGram,numberPerGram,,count/gram,,,1,,massSpecificCount
gramsPerGram,gramsPerGram,gramPerGram,gram/gram,,,1,,massPerMass
microgramsPerGram,microgramsPerGram,microgramPerGram,microgram/gram,gramsPerGram,,0.000001,,massPerMass
gramPerGram,gramPerGram,,gram/gram,gramPerGram,,1,g/g,massPerMass
milligramPerKilogram,milligramPerKilogram,,milligram/kilogram,gramPerGram,,0.000001,mg/kg,massPerMass
microgramPerGram,microgramPerGram,,microgram/gram,gramPerGram,,0.000001,μg/g,massPerMass
nanogramPerGram,nanogramPerGram,,nanogram/gram,gramPerGram,,0.000000001,ng/g,massPerMass
microgramPerGramPerHour,microgramPerGramPerHour,,microgram/gram/hour,gramPerGramPerSecond,,0.000000000277778,μg/g/h,massPerMassRate
microgramPerGramPerDay,microgramPerGramPerDay,,microgram/gram/day,gramPerGramPerSecond,,0.0000000000115741,μg/g/day,massPerMassRate
microgramPerGramPerWeek,microgramPerGramPerWeek,,microgram/gram/week,gramPerGramPerSecond,,0.00000000000165344,μg/g/week,massPerMassRate
