id,name,deprecatedInFavorOf,udunitSynonym,parentSi,constantToSi,multiplierToSi,abbreviation,unitType
milligramPerMeterCubedPerDay,milligramPerMeterCubedPerDay,,milligram/meter^3/day,kilogramPerMeterCubedPerSecond,,0.0000015741,mg/m3/d,volumetricMassDensityRate
gramPerDayPerLiter,gramPerDayPerLiter,,gram/day/liter,gramPerDayPerLiter,,1,g/d/l,volumetricMassDensityRate
litersPerSecond,litersPerSecond,literPerSecond,liter/second,,,1,l/s,volumetricRate
cubicMetersPerSecond,cubicMetersPerSecond,meterCubedPerSecond,meter^3/second,literPerSecond,,1000,m³/s,volumetricRate
cubicFeetPerSecond,cubicFeetPerSecond,footCubedPerSecond,international_foot^3/second,literPerSecond,,28.316874,ft³/s,volumetricRate
footCubedPerSecond,footCubedPerSecond,,international_foot^3/second,literPerSecond,,28.316874,ft³/s,volumetricRate
literPerSecond,literPerSecond,,liter/second,literPerSecond,,1,l/s,volumetricRate
meterCubedPerSecond,meterCubedPerSecond,,meter^3/second,literPerSecond,,1000,m³/s,volumetricRate
squareMeter,squareMeter,meterSquared,meter^2,,,1,m²,area
are,are,,are,squareMeter,,100,a,area
hectare,hectare,,hectare,squareMeter,,10000,ha,area
squareKilometers,squareKilometers,kilometerSquared,kilometer^2,squareMeter,,1000000,,area
squareMillimeters,squareMillimeters,millimeterSquared,millimeter^2,squareMeter,,0.000001,,area
squareCentimeters,squareCentimeters,centimeterSquared,centimeter^2,squareMeter,,0.0001,,area
acre,acre,,acre,squareMeter,,4046.8564,a,area
squareFoot,squareFoot,footSquared,international_foot^2,squareMeter,,0.092903,ft²,area
squareYard,squareYard,yardSquared,international_yard^2,squareMeter,,0.836131,yd²,area
squareMile,squareMile,mileSquared,international_mile^2,squareMeter,,2589998.49806,mile²,area
centimeterSquared,centimeterSquared,,centimeter^2,meterSquared,,0.0001,cm²,area
footSquared,footSquared,,international_foot^2,meterSquared,,0.092903,ft²,area
kilometerSquared,kilometerSquared,,kilometer^2,meterSquared,,1000000,km²,area
meterSquared,meterSquared,,meter^2,meterSquared,,1,m²,area
mileSquared,mileSquared,,international_mile^2,meterSquared,,2589998.49806,mile²,area
millimeterSquared,millimeterSquared,,millimeter^2,meterSquared,,0.000001,mm²,area
yardSquared,yardSquared,,international_yard^2,meterSquared,,0.836131,yd²,area
litersPerSquareMeter,litersPerSquareMeter,literPerMeterSquared,liter/meter^2,,,1,l/m²,volumetricArea
bushelsPerAcre,bushelsPerAcre,bushelPerAcre,bushel/acre,literPerMeterSquared,,0.00870,,volumetricArea
litersPerHectare,litersPerHectare,literPerHectare,liter/hectare,literPerMeterSquared,,0.0001,,volumetricArea
bushelPerAcre,bushelPerAcre,,bushel/acre,literPerMeterSquared,,0.00870,bu/acre,volumetricArea
literPerHectare,literPerHectare,,liter/hectare,literPerMeterSquared,,0.0001,l/hectare,volumetricArea
literPerMeterSquared,literPerMeterSquared,,liter/meter^2,literPerMeterSquared,,1,l/m²,volumetricArea
meterCubedPerHectare,meterCubedPerHectare,,m^3/hectare,meterCubedPerMeterSquared,,0.0001,m3/ha,volumetricArea
meterCubedPerMeterSquared,meterCubedPerMeterSquared,,m^3/m^2,meterCubedPerMeterSquared,,1,m^3/m^2,volumetricArea
meterSquaredPerHectare,meterSquaredPerHectare,,m^2/hectare,meterSquaredPerMeterSquared,,0.0001,m^2/ha,volumetricArea
squareMeterPerKilogram,squareMeterPerKilogram,meterSquaredPerKilogram,meter^2/kilogram,,,1,m²/kg,specificArea
meterSquaredPerKilogram,meterSquaredPerKilogram,,meter^2/kilogram,meterSquaredPerKilogram,,1,m²/kg,specificArea
metersPerSecond,metersPerSecond,meterPerSecond,meter/second,meterPerSecond,,1,m/s,speed
metersPerDay,metersPerDay,meterPerDay,meter/day,,,.0000115741,m/day,speed
feetPerDay,feetPerDay,footPerDay,international_foot/day,meterPerSecond,,0.00000352778,ft/day,speed
feetPerSecond,feetPerSecond,footPerSecond,international_foot/second,meterPerSecond,,0.3048,ft/s,speed
feetPerHour,feetPerHour,footPerHour,international_foot/hour,meterPerSecond,,0.000084667,ft/hr,speed
yardsPerSecond,yardsPerSecond,yardPerSecond,international_yard/second,meterPerSecond,,0.9144,yd/s,speed
milesPerHour,milesPerHour,milePerHour,international_mile/hour,meterPerSecond,,0.44704,mph,speed
milesPerSecond,milesPerSecond,milePerSecond,international_mile/second,meterPerSecond,,1609.344,mps,speed
milesPerMinute,milesPerMinute,milePerMinute,international_mile/minute,meterPerSecond,,26.8224,mpm,speed
centimetersPerSecond,centimetersPerSecond,centimeterPerSecond,centimeter/second,meterPerSecond,,0.01,cm/s,speed
millimetersPerSecond,millimetersPerSecond,millimeterPerSecond,millimeter/second,meterPerSecond,,0.001,mm/s,speed
centimeterPerYear,centimeterPerYear,centimeterPerYear,centimeter/common_year,meterPerSecond,,0.000000000317098,cm/year,speed
knots,knots,knot,international_knot,meterPerSecond,,0.514444,,speed
kilometersPerHour,kilometersPerHour,kilometerPerHour,kilometer/hour,meterPerSecond,,0.2778,km/hr,speed
centimeterPerSecond,centimeterPerSecond,,centimeter/second,meterPerSecond,,0.01,cm/s,speed
footPerDay,footPerDay,,international_foot/day,meterPerSecond,,0.00000352778,ft/day,speed
footPerHour,footPerHour,,international_foot/hour,meterPerSecond,,0.000084667,ft/hr,speed
footPerSecond,footPerSecond,,international_foot/second,meterPerSecond,,0.3048,ft/s,speed
inchPerHour,inchPerHour,,international_inch/hour,meterPerSecond,,0.00000705556,in/hr,speed
kilometerPerHour,kilometerPerHour,,kilometer/hour,meterPerSecond,,0.2778,km/hr,speed
knot,knot,,international_knot,meterPerSecond,,0.514444444444444,knot,speed
meterPerDay,meterPerDay,,meter/day,meterPerSecond,,.0000115741,m/day,speed
meterPerSecond,meterPerSecond,,meter/second,meterPerSecond,,1,m/s,speed
milePerHour,milePerHour,,international_mile/hour,meterPerSecond,,0.44704,mph,speed
milePerMinute,milePerMinute,,international_mile/minute,meterPerSecond,,26.8224,mpm,speed
milePerSecond,milePerSecond,,international_mile/second,meterPerSecond,,1609.344,mps,speed
millimeterPerDay,millimeterPerDay,,millimeter/day,meterPerSecond,,0.00000001157407,mm/d,speed
millimeterPerSecond,millimeterPerSecond,,millimeter/second,meterPerSecond,,0.001,mm/s,speed
