Scope,count(*)
AND-LTER,104
ARC-LTER,61
BNZ-LTER,198
CAP-LTER,52
CCE-LTER,42
CDR-LTER,58
EML-2.0.1,196
EML-2.1.0,196
EML-LTER,195
FCE-LTER,35
GCE-LTER,31
HBR-LTER,26
HFR-LTER,54
KBS-LTER,20
KNZ-LTER,14
LTER-ADDED,23
LUQ-LTER,58
MCM-LTER,84
MCR-LTER,25
NTL-LTER,36
NWT-LTER,45
PAL-LTER,39
PIE-LTER,20
SBC-LTER,30
SGS-LTER,160
